date,open,high,low,close,diff,sma10,vol,it,de,fi,wma10,CCI14,RSI 9,k_value,d_value,R
2012/3/14,82.4,83.2,82,83.2,1.9,80.1,60638,1204,297,28197,80.55,249.59,76.32,82.43,70.58,0
2012/3/15,83.2,83.2,82.5,83.2,0,80.42,30094,36,-599,10368,81.12,191.37,76.32,88.29,76.48,0
2012/3/16,83.2,83.8,81.1,81.1,-2.1,80.6,29118,-384,-1405,889,81.24,99.1,55.3,75.83,76.26,-49.09
2012/3/19,83.7,84.2,82.4,83.7,2.6,81.08,37377,322,-3977,15225,81.8,164.64,67.69,80.85,77.79,-8.47
2012/3/20,84,84.1,82.8,83.2,-0.5,81.45,29284,569,-1637,10993,82.19,140.57,63.86,81.06,78.88,-16.95
2012/3/21,84.8,85.2,83.8,84.9,1.7,82.03,61551,13520,-3583,27947,82.82,165.26,70.29,85.81,81.19,-4.35
2012/3/22,85,85.7,84.3,85.2,0.3,82.58,37774,512,81,21353,83.39,142.89,71.31,87.81,83.4,-6.76
2012/3/23,85,85.4,84.4,85.4,0.2,83.12,29421,-65,97,17377,83.91,111.44,72.02,90.09,85.63,-4.05
2012/3/26,85.1,85.1,82.5,83.6,-1.8,83.48,58902,1052,1765,-17613,83.99,49.19,57.5,78.17,83.14,-30
2012/3/27,85,85.8,84.3,85.8,2.2,83.93,34285,-141,-2030,19827,84.42,81.42,66.73,85.45,83.91,0
2012/3/28,86.5,86.5,84.6,85.5,-0.3,84.16,28254,135,-1915,3046,84.7,70.27,64.57,84.13,83.98,-12.99
2012/3/29,84.5,84.5,83.4,84.1,-1.4,84.25,49444,417,-818,-3096,84.69,15.05,55.23,69.91,79.29,-34.78
2012/3/30,83.7,84.9,82.9,84.9,0.8,84.63,43788,1346,701,-5078,84.81,13.14,59.04,66.6,75.06,-25
2012/4/2,84.8,85.2,84,85.1,0.2,84.77,23646,575,-975,4829,84.89,21.15,60,66.07,72.06,-25.93
2012/4/3,85,85,83.8,85,-0.1,84.95,31253,2124,-176,3955,84.94,13.38,59.22,64.88,69.67,-27.78
2012/4/5,83.3,84,83.1,83.1,-1.9,84.77,42672,1093,1592,-7431,84.6,-29.15,46.36,48.25,62.53,-62.96
2012/4/6,84,84,83.1,83.8,0.7,84.63,34091,175,-241,-14313,84.42,-25.93,50.79,43,56.02,-65.85
2012/4/9,82,83.6,82,83,-0.8,84.39,23225,3577,131,-10026,84.13,-55.66,45.91,36.08,49.37,-77.78
2012/4/10,83.1,83.5,81.8,82,-1,84.23,33361,1295,560,-9693,83.69,-72.24,40.45,25.47,41.4,-95.74
2012/4/11,82,83.5,81.7,82.4,0.4,83.89,40739,3280,1293,-7491,83.36,-67.88,43.48,23.65,35.48,-85.42
2012/4/12,82.5,82.7,81.5,82.6,0.2,83.6,36721,358,164,-11869,83.12,-77.74,45.05,25.67,32.21,-78
2012/4/13,83.4,85,82.7,84.9,2.3,83.68,44696,2220,-1312,15120,83.36,21.15,59.58,47.75,37.39,-32
2012/4/16,84.6,85,83.8,84.9,0,83.68,19471,1901,-572,642,83.58,40.09,59.58,64.21,46.33,-32
2012/4/17,84.9,84.9,83.4,83.8,-1.1,83.55,29479,624,393,-2575,83.6,16.59,51.36,64.71,52.46,-54
2012/4/18,85,85,84.4,85,1.2,83.55,32337,2689,1887,6328,83.87,80.14,58.4,76.48,60.46,-5.41
2012/4/19,84.5,85.8,84.3,85.8,0.8,83.82,31426,4584,597,9244,84.28,102.91,62.48,84.32,68.42,0
2012/4/20,85,85.7,84.1,84.3,-1.5,83.87,27786,3124,-112,2668,84.36,56.88,51.78,77.92,71.58,-34.88
2012/4/23,84.2,84.6,83.4,84.3,0,84,20330,1597,1289,4106,84.44,19.89,51.78,73.65,72.27,-34.88
2012/4/24,83.8,84.6,83.6,84.6,0.3,84.26,24880,1052,-16,6905,84.55,33.1,53.78,73.13,72.56,-27.91
2012/4/25,84.9,84.9,83.9,84.2,-0.4,84.44,31103,449,313,-2685,84.54,33.99,50.63,64.88,70,-37.21
2012/4/26,84.2,84.2,83.5,84,-0.2,84.58,21052,422,-256,-2834,84.46,1.62,49.01,51.59,63.86,-41.86
2012/4/27,87,89.8,86,86,2,84.69,116925,3054,-168,38119,84.72,205.41,62.49,47.93,58.55,-45.78
2012/4/30,86.3,87.4,85.7,86.8,0.8,84.88,47569,1376,784,18733,85.1,139.63,66.48,49.66,55.59,-36.14
2012/5/2,87,88.9,86.8,88.4,1.6,85.34,47468,12,731,6687,85.74,184.71,72.95,59.15,56.78,-16.87
2012/5/3,88.4,89,87.9,88.9,0.5,85.73,27664,-61,-164,6515,86.39,173.47,74.67,68.08,60.54,-12.68
2012/5/4,86.7,88,86.7,87.6,-1.3,85.91,37683,-156,685,-11089,86.73,91.41,62.96,67.26,62.78,-34.37
2012/5/7,86.5,86.5,85,85.6,-2,86.04,46497,616,1019,-21875,86.67,2.54,49.53,55.95,60.51,-65.62
2012/5/8,86,86,84.4,84.4,-1.2,86.05,45631,403,1346,-22734,86.38,-38.49,43.29,42.06,54.36,-84.37
2012/5/9,83.9,85.2,83.5,84.6,0.2,86.05,40772,1248,1044,-12137,86.11,-61.22,44.6,33.86,47.53,-81.25
2012/5/10,85,85.7,84.3,85.3,0.7,86.16,28391,1033,-683,1435,85.98,-29.37,49.21,32.1,42.38,-70.31
2012/5/11,85.7,85.7,84.5,85.5,0.2,86.31,33604,941,1453,-6697,85.86,-24.98,50.53,33.52,39.43,-67.19
2012/5/14,84.8,85.5,84.8,85.4,-0.1,86.25,13936,494,590,1092,85.69,-28.77,49.8,33.86,37.57,-69.84
2012/5/15,85.4,85.7,84.1,85.5,0.1,86.12,30695,746,2158,795,85.55,-38.1,50.61,34.7,36.61,-68.25
2012/5/16,84.2,84.5,83.4,83.4,-2.1,85.62,64945,-1982,7107,-24320,85.06,-95.42,36.73,23.13,32.12,-100
2012/5/17,84.8,85.1,84.1,85.1,1.7,85.24,33632,-422,-808,6599,84.96,-49,49.37,33.7,32.65,-73.44
2012/5/18,83.9,83.9,81.8,81.8,-3.3,84.66,57596,168,2245,-29278,84.34,-134.49,34.37,22.47,29.25,-100
2012/5/21,81,82.8,81,82.5,0.7,84.35,32388,-519,1692,-8022,83.95,-131.81,38.81,25.62,28.04,-81.25
2012/5/22,82.7,82.9,82.2,82.2,-0.3,84.13,33956,-886,-63,-15533,83.56,-104.38,37.58,25.59,27.22,-85
2012/5/23,81,81.2,79,79.1,-3.1,83.58,63250,-4222,679,-38679,82.64,-183.85,27.49,17.56,24,-98.89
2012/5/24,78.9,80.6,78.1,80.6,1.5,83.11,40954,-2116,2474,-5671,82.1,-147.83,36.74,22.67,23.56,-70.24
2012/5/25,79.8,80.5,79.2,80,-0.6,82.56,28257,668,354,-8424,81.53,-111.9,34.75,23.45,23.52,-75.95
2012/5/28,80,81.7,79.8,81.6,1.6,82.18,28881,960,-2087,-940,81.36,-61.75,43.88,32.3,26.45,-53.95
2012/5/29,82.5,83.2,82,82.3,0.7,81.86,40656,-2269,14,-3562,81.38,-10.06,47.5,41.53,31.47,-44.74
2012/5/30,81.6,82,80.3,81.7,-0.6,81.69,75275,-3878,-810,-13291,81.35,-39.28,44.72,48.38,37.11,-52.63
2012/5/31,80.5,85.1,79.7,85.1,3.4,81.69,82946,-1965,-128,3923,81.97,29.31,59.74,65.58,46.6,-7.89
2012/6/1,81.7,81.7,79.9,79.9,-5.2,81.5,66906,-1210,1158,-25547,81.65,-48.56,40.71,52.29,48.5,-76.32
2012/6/4,76.5,77.1,76.1,76.5,-3.4,80.9,65980,-1599,3200,-14251,80.74,-133.89,32.98,36.34,44.45,-95.56
2012/6/5,77.5,78.2,77.2,78.2,1.7,80.5,37602,-1526,254,-6868,80.25,-83.91,39.45,32.01,40.3,-76.67
2012/6/6,78.2,78.6,77.5,77.8,-0.4,80.37,33702,-2142,425,-15969,79.76,-65.6,38.46,27.63,36.08,-81.11
2012/6/7,79.4,79.8,78.6,79.8,2,80.29,47684,-4125,-371,9691,79.65,-24.82,46.02,32.13,34.76,-58.89
2012/6/8,77,78.7,77,77.9,-1.9,80.08,34674,221,206,-15474,79.22,-59.83,40.68,28.08,32.54,-80
2012/6/11,79.9,80.5,79.6,80.4,2.5,79.96,37066,-1955,-430,7311,79.28,9.33,49.38,34.65,33.24,-52.22
2012/6/12,78.5,79.8,78.5,79.4,-1,79.67,38319,-1043,-708,-6014,79.17,-19.64,46.32,35.32,33.93,-63.33
2012/6/13,80.8,80.8,79.5,80,0.6,79.5,32265,298,-521,-68,79.23,10.18,48.48,46.76,38.21,-56.67
2012/6/14,80,80.2,79.1,79.2,-0.8,78.91,30447,183,644,-5930,79.18,-13.76,45.73,53.16,43.19,-65.56
2012/6/15,79.2,79.5,78.1,78.1,-1.1,78.73,83821,-2612,1139,-16752,79.03,-49.37,42.04,45.09,43.83,-77.78
2012/6/18,80,81,80,80.8,2.7,79.16,33709,-699,-281,11284,79.41,49.07,52.6,61.73,49.79,-47.78
2012/6/19,80.9,80.9,80,80.5,-0.3,79.39,28893,219,805,-1436,79.65,46.26,51.43,70.32,56.63,-51.11
2012/6/20,81.3,81.6,80.5,81.6,1.1,79.77,28957,-168,152,9291,80.05,83.14,55.51,80.21,64.49,-1.79
2012/6/21,80.5,81,80.3,80.6,-1,79.85,27053,-153,299,-6968,80.2,57.67,51.12,77.28,68.76,-18.18
2012/6/22,80,81,79.9,80.1,-0.5,80.07,30172,232,811,-1477,80.25,40.87,48.93,70.57,69.36,-32.61
2012/6/25,80.8,80.8,79.1,79.6,-0.5,79.99,39508,-581,399,-17125,80.16,8.14,46.69,61.33,66.69,-43.48
2012/6/26,79,79.1,78.3,78.7,-0.9,79.92,36893,-169,3121,-16858,79.93,-76.28,42.73,46.6,59.99,-63.04
2012/6/27,78.3,79.5,78.2,79.3,0.6,79.85,31912,1248,1339,-3324,79.82,-53.39,46.16,42.5,54.16,-50
2012/6/28,80,80.3,79.5,79.9,0.6,79.92,33090,-56,1125,5948,79.83,2.09,49.55,45,51.11,-48.57
2012/6/29,79.6,81.3,79.3,81.3,1.4,80.24,47898,-227,3762,6989,80.08,61.06,56.72,60.39,54.2,-8.57
2012/7/2,81.5,83.7,81.5,83.3,2,80.49,61243,3995,399,2110,80.63,189.27,64.76,71.17,59.86,-7.14
2012/7/3,83.6,84.9,83.4,84.2,0.9,80.86,60726,714,3405,22406,81.31,208.6,67.8,77.3,65.67,-10.29
2012/7/4,82.1,82.1,81.2,81.2,-3,80.82,39074,35,-8253,-7485,81.37,48.87,51.26,66.46,65.93,-54.41
2012/7/5,82,82,80.7,81,-0.2,80.86,26943,-459,-2221,9036,81.4,24.95,50.34,58.23,63.37,-58.21
2012/7/6,81,81,80.1,80.9,-0.1,80.94,38173,-657,287,9676,81.41,-7.7,49.84,52.26,59.66,-59.7
2012/7/9,79.9,80.3,79.6,80,-0.9,80.98,45048,-519,128,-10928,81.24,-48.2,45.25,43.79,54.37,-73.13
